NU_ANO_CENSO|ID_GESTOR|NU_MES|NU_ANO|NU_IDADE_REFERENCIA|NU_IDADE|TP_SEXO|TP_COR_RACA|TP_NACIONALIDADE|CO_PAIS_ORIGEM|CO_UF_NASC|CO_MUNICIPIO_NASC|IN_NECESSIDADE_ESPECIAL|IN_BAIXA_VISAO|IN_CEGUEIRA|IN_DEF_AUDITIVA|IN_DEF_FISICA|IN_DEF_INTELECTUAL|IN_SURDEZ|IN_SURDOCEGUEIRA|IN_DEF_MULTIPLA|IN_AUTISMO|IN_SUPERDOTACAO|TP_ESCOLARIDADE|TP_ENSINO_MEDIO|CO_AREA_CURSO_1|CO_CURSO_1|IN_LICENCIATURA_1|NU_ANO_CONCLUSAO_1|TP_TIPO_IES_1|CO_IES_1|CO_AREA_CURSO_2|CO_CURSO_2|IN_LICENCIATURA_2|NU_ANO_CONCLUSAO_2|TP_TIPO_IES_2|CO_IES_2|IN_ESPECIALIZACAO|IN_MESTRADO|IN_DOUTORADO|IN_POS_NENHUM|IN_ESPECIFICO_CRECHE|IN_ESPECIFICO_PRE_ESCOLA|IN_ESPECIFICO_ANOS_INICIAIS|IN_ESPECIFICO_ANOS_FINAIS|IN_ESPECIFICO_ENS_MEDIO|IN_ESPECIFICO_EJA|IN_ESPECIFICO_ED_ESPECIAL|IN_ESPECIFICO_ED_INDIGENA|IN_ESPECIFICO_CAMPO|IN_ESPECIFICO_AMBIENTAL|IN_ESPECIFICO_DIR_HUMANOS|IN_ESPECIFICO_DIV_SEXUAL|IN_ESPECIFICO_DIR_ADOLESC|IN_ESPECIFICO_AFRO|IN_ESPECIFICO_GESTAO|IN_ESPECIFICO_OUTROS|IN_ESPECIFICO_NENHUM|TP_CARGO_GESTOR|TP_TIPO_ACESSO_CARGO|TP_TIPO_CONTRATACAO|CO_ENTIDADE|CO_REGIAO|CO_MESORREGIAO|CO_MICRORREGIAO|CO_UF|CO_MUNICIPIO|CO_DISTRITO|TP_DEPENDENCIA|TP_LOCALIZACAO|TP_CATEGORIA_ESCOLA_PRIVADA|IN_CONVENIADA_PP|TP_CONVENIO_PODER_PUBLICO|IN_MANT_ESCOLA_PRIVADA_EMP|IN_MANT_ESCOLA_PRIVADA_ONG|IN_MANT_ESCOLA_PRIV_ONG_OSCIP|IN_MANT_ESCOLA_PRIVADA_OSCIP|IN_MANT_ESCOLA_PRIVADA_SIND|IN_MANT_ESCOLA_PRIVADA_SIST_S|IN_MANT_ESCOLA_PRIVADA_S_FINS|TP_REGULAMENTACAO|TP_LOCALIZACAO_DIFERENCIADA|IN_EDUCACAO_INDIGENA
2020|2889F6AA29472D002DB9FD27189E1239|5|1971|49|49|1|5|1|76|14.0|1400407.0|0|||||||||||4|1.0|0.0|0113P011|1|2018.0|1.0|5077.0|||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|||14003031|1|1401|14002|14|1400407|140040705|2|2|||||||||||1|2|1
2020|530B1B4D12E5ADC62E771470443E0C5D|2|1977|43|43|1|3|1|76|14.0|1400100.0|0|||||||||||3|4.0|||0||||||0||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|||14003058|1|1401|14002|14|1400407|140040705|3|2|||||||||||2|2|1
2020|231DFF179FDE60CF05E45B7054E44408|2|1976|44|44|2|1|1|76|14.0|1400407.0|0|||||||||||4||0.0|0113P011|1|2012.0|1.0|9999999.0|||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|||14003066|1|1401|14002|14|1400407|140040705|3|2|||||||||||1|2|1
2020|2051967E0A4319EA8D5DD68FBBBAFFE6|9|1982|37|38|1|5|1|76|14.0|1400456.0|0|||||||||||3|1.0|||0||||||0||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|||14003082|1|1401|14002|14|1400407|140040705|3|2|||||||||||0|2|0
2020|8B6F4E52F299B1549F3E84ABAF577159|3|1961|59|59|1|5|1|76|14.0|1400407.0|0|||||||||||3|4.0|||0||||||0||||||||0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|2|||14003090|1|1401|14002|14|1400407|140040705|2|2|||||||||||1|2|1
2020|9C87D9515C41C0781BB0FE376A5C873E|3|1987|33|33|2|5|1|76|14.0|1400456.0|0|||||||||||3|1.0|||0||||||0||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|||14003104|1|1401|14002|14|1400407|140040705|2|2|||||||||||1|2|1
2020|41A684FFE6A8A8F14DDD3111F112A1FF|11|1981|38|39|2|5|1|76|14.0|1400100.0|0|||||||||||3|1.0|||0||||||0||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|||14003112|1|1401|14002|14|1400407|140040705|2|2|||||||||||1|2|1
2020|6BE2550D013CC523814A30F5B89CAF7F|4|1981|39|39|2|5|1|76|14.0|1400407.0|0|||||||||||4||0.0|0113P011|1|2009.0|1.0|789.0|||0||||0.0|0.0|0.0|1.0|1|1|0|0|0|0|1|1|0|0|0|0|0|0|0|1|0|2|||14003120|1|1401|14002|14|1400407|140040705|3|2|||||||||||1|2|0
2020|171B18E548156FA60A1EE4B826577DC6|2|1974|46|46|1|3|1|76|14.0|1400407.0|0|||||||||||4||0.0|0114M011|1|2005.0|1.0|789.0|||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|7.0|1.0|14003139|1|1401|14002|14|1400407|140040705|2|2|||||||||||1|2|1
2020|2E2EE3B69EB3D5A0D824D3123C22C160|7|1975|44|45|1|5|1|76|14.0|1400407.0|0|||||||||||3|1.0|||0||||||0||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|||14003147|1|1401|14002|14|1400407|140040705|2|2|||||||||||1|2|1
2020|A8C56BB51452EC1053C1E93A75E3A0CC|3|1982|38|38|1|5|1|76|14.0|1400407.0|0|||||||||||4|1.0|0.0|0113P011|1|2007.0|1.0|5077.0|||0||||0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|||14003155|1|1401|14002|14|1400407|140040705|2|2|||||||||||1|2|1
